"Week","S08000015","S08000016","S08000017","S08000029","S08000019","S08000020","S08000031","S08000022","S08000032","S08000024","S08000030"
2020-03-02,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0
2020-03-16,0.0196078431372549,0,0,0.0512820512820513,0,0.0465116279069767,0.0130434782608696,0,0,0.0176991150442478,0
2020-03-23,0.176470588235294,0.2,0,0.102564102564103,0.205882352941176,0.0697674418604651,0.0565217391304348,0.227272727272727,0.0888888888888889,0.0619469026548673,0.0508474576271186
2020-03-30,0.333333333333333,0.866666666666667,1,0.230769230769231,0.588235294117647,0.13953488372093,0.465217391304348,0.5,0.444444444444444,0.283185840707965,0.23728813559322
2020-04-06,0.784313725490196,1,0.75,0.794871794871795,0.941176470588235,0.813953488372093,0.839130434782609,0.590909090909091,1,0.955752212389381,0.644067796610169
2020-04-13,1,0.466666666666667,0.833333333333333,1,0.911764705882353,1,0.856521739130435,0.954545454545455,1,0.964601769911504,0.864406779661017
2020-04-20,0.764705882352941,0.2,0.25,0.846153846153846,1,0.930232558139535,1,1,0.922222222222222,1,1
2020-04-27,0.686274509803922,0.266666666666667,0.5,0.641025641025641,0.941176470588235,0.697674418604651,0.739130434782609,0.727272727272727,0.822222222222222,0.876106194690266,0.576271186440678
2020-05-04,0.549019607843137,0.2,0.5,0.487179487179487,0.911764705882353,0.651162790697674,0.547826086956522,0.409090909090909,0.566666666666667,0.716814159292035,0.559322033898305
2020-05-11,0.411764705882353,0.4,0.0833333333333333,0.384615384615385,0.5,0.627906976744186,0.51304347826087,0.272727272727273,0.511111111111111,0.47787610619469,0.423728813559322
2020-05-18,0.411764705882353,0.266666666666667,0,0.102564102564103,0.352941176470588,0.395348837209302,0.326086956521739,0.181818181818182,0.333333333333333,0.389380530973451,0.322033898305085
2020-05-25,0.274509803921569,0.266666666666667,0,0.205128205128205,0.0882352941176471,0.209302325581395,0.130434782608696,0.181818181818182,0.244444444444444,0.212389380530973,0.220338983050847
2020-06-01,0.117647058823529,0.4,0,0.0769230769230769,0.117647058823529,0.116279069767442,0.091304347826087,0.0909090909090909,0.2,0.132743362831858,0.152542372881356
2020-06-08,0.117647058823529,0.2,0,0.0769230769230769,0.176470588235294,0.13953488372093,0.0739130434782609,0,0.0888888888888889,0.0973451327433628,0.152542372881356
2020-06-15,0.0784313725490196,0.0666666666666667,0,0.0512820512820513,0.117647058823529,0.0930232558139535,0.0652173913043478,0,0.0888888888888889,0.079646017699115,0.0338983050847458
2020-06-22,0.0196078431372549,0,0,0.0769230769230769,0.0882352941176471,0.0697674418604651,0.0347826086956522,0,0.122222222222222,0.0353982300884956,0.0338983050847458
2020-06-29,0,0.0666666666666667,0,0,0.0294117647058824,0,0.0173913043478261,0,0.0222222222222222,0.0619469026548673,0.0508474576271186
2020-07-06,0,0.0666666666666667,0,0.0256410256410256,0,0.0232558139534884,0.00434782608695652,0.0454545454545455,0.0111111111111111,0.0442477876106195,0.0338983050847458
2020-07-13,0,0,0,0,0.0588235294117647,0.0232558139534884,0,0,0.0111111111111111,0.0176991150442478,0
2020-07-20,0.0196078431372549,0,0,0.0512820512820513,0,0,0.0130434782608696,0,0.0222222222222222,0,0
2020-07-27,0,0,0,0,0.0588235294117647,0,0.0130434782608696,0,0.0111111111111111,0.00884955752212389,0
