"","Post.Code","relative","absolute"
"183","IV16",0.099,0.00466666666666667
"184","IV17",0.142,0.00433333333333333
"185","IV18",0.600666666666667,0.0906666666666667
"186","IV19",0.465666666666667,0.0663333333333333
"187","IV2",0.105666666666667,0.000333333333333333
"188","IV20",0.0986666666666667,0.00766666666666667
"189","IV25",0.265,0.026
"190","IV26",0.363,0.0513333333333333
"191","IV27",0.115,0.0126666666666667
"192","IV3",0.250666666666667,0.00266666666666667
"193","IV30",0.386333333333333,0.00433333333333333
"194","IV31",0.171666666666667,0.0123333333333333
"195","IV32",0.155666666666667,0.0143333333333333
"196","IV36",0.319666666666667,0.0193333333333333
"197","IV4",0.208666666666667,0.016
"198","IV40",0.617333333333333,0.191
"199","IV51",0.776666666666667,0.312333333333333
"200","IV6",0.261333333333333,0.023
"201","IV63",0.471666666666667,0.094
"202","IV7",0.105666666666667,0.00233333333333333
"203","KA1",0.722,0.0623333333333333
"204","KA10",0.615333333333333,0.065
"205","KA11",0.0246666666666667,0
"206","KA12",0.0513333333333333,0.000333333333333333
"207","KA13",0.811666666666667,0.202333333333333
"208","KA15",0.846333333333333,0.319666666666667
"209","KA16",0.682,0.172666666666667
"210","KA17",0.909666666666667,0.462
"211","KA18",0.825666666666667,0.186
"212","KA19",0.480666666666667,0.0436666666666667
"213","KA2",0.297666666666667,0.015
"214","KA20",0.910333333333333,0.405666666666667
"215","KA21",0.900666666666667,0.277
"216","KA22",0.078,0.00166666666666667
"217","KA23",0.261,0.02
"218","KA24",0.676666666666667,0.174
"219","KA25",1,0.997
"220","KA26",0.0943333333333333,0.00266666666666667
"221","KA27",0.142,0.01
"222","KA29",0.614333333333333,0.184333333333333
"223","KA3",0.906666666666667,0.169333333333333
"224","KA30",0.211333333333333,0.011
"225","KA4",0.992666666666667,0.883666666666667
"226","KA5",0.658333333333333,0.0953333333333333
"227","KA6",0.592333333333333,0.059
"228","KA7",0.155,0.002
"229","KA8",0.102666666666667,0
"230","KA9",0.102,0.00133333333333333
"231","KW1",0.861333333333333,0.368
"232","KW10",0.0956666666666667,0.00933333333333333
"233","KW12",0.411333333333333,0.073
"234","KW14",0.539,0.092
"235","KW15",0.34,0.0306666666666667
"236","KW16",0.293666666666667,0.0446666666666667
"237","KW17",0.495,0.104
"238","KW8",0.365,0.062
"239","KW9",0.076,0.00666666666666667
"240","KY1",0.0966666666666667,0
"241","KY10",0.0983333333333333,0.00366666666666667
"242","KY11",0.999,0.575
"243","KY12",0.901333333333333,0.17
"244","KY13",0.987333333333333,0.785333333333333
"245","KY14",0.471666666666667,0.0846666666666667
"246","KY15",0.500333333333333,0.0276666666666667
"247","KY16",0.081,0.001
"248","KY2",0.531,0.0173333333333333
"249","KY3",0.631666666666667,0.126333333333333
"250","KY4",0.963666666666667,0.401
"251","KY5",0.323333333333333,0.007
"252","KY6",0.693333333333333,0.0813333333333333
"253","KY7",0.503333333333333,0.00766666666666667
"254","KY8",0.351666666666667,0.00133333333333333
"255","KY9",0.385,0.0643333333333333
"256","ML1",0.68,0.0173333333333333
"257","ML10",0.966666666666667,0.674666666666667
"258","ML11",0.614,0.0343333333333333
