"Post.Code","covidest","covidprobinc","SE1est","SE1probinc"
"KY5",-0.00934351911579634,0.329,-0.00837301409118375,0.319333333333333
"KY6",-0.0125234560415813,0.318,-0.0117927859769946,0.293
"KY7",-0.0363587082373474,0.0403333333333333,-0.031136328511993,0.0363333333333333
"KY8",-0.00742604829636558,0.353,-0.00721389471123593,0.33
"KY9",-0.0367665381553142,0.118333333333333,-0.0320996120577546,0.112
"ML1",-0.00694284280333131,0.342333333333333,-0.00611838749568404,0.350333333333333
"ML10",-0.0181351765207925,0.281666666666667,-0.0160614521144399,0.276
"ML11",-0.0118107053657004,0.308666666666667,-0.0105728535756389,0.313666666666667
"ML12",0.00437679098170451,0.552666666666667,0.00422373661946486,0.555
"ML2",0.00188270043194291,0.54,0.00141436402757505,0.537333333333333
"ML3",-0.0359052083177176,0.024,-0.0311468555199714,0.0263333333333333
"ML4",-0.000779422422676784,0.485333333333333,-0.000691272749511293,0.483
"ML5",-0.0306299090243513,0.0603333333333333,-0.0262850854707239,0.0613333333333333
"ML6",-0.0301448457491662,0.0576666666666667,-0.026237570047819,0.0593333333333333
"ML7",-0.0173159148234612,0.204666666666667,-0.0147763101453356,0.198666666666667
"ML8",-0.00938657527499188,0.362666666666667,-0.00829166441475714,0.363
"ML9",0.0129413898131687,0.717666666666667,0.0107679081916683,0.717666666666667
"PA1",-0.0314215666656484,0.058,-0.0266013827716483,0.066
"PA10",-0.0365261999256111,0.140333333333333,-0.031545584330624,0.141333333333333
"PA11",-0.0312003274263485,0.148333333333333,-0.0270910338751489,0.142
"PA12",-0.0216965987043136,0.25,-0.0185579361592391,0.254
"PA13",-0.0182969167607981,0.251666666666667,-0.0164785894816913,0.247666666666667
"PA14",-0.0163097475240298,0.270333333333333,-0.013711745624781,0.272
"PA15",-0.0115613023404982,0.311666666666667,-0.0100258513613144,0.309666666666667
"PA16",-0.0395125819454318,0.0593333333333333,-0.0344917873315147,0.0613333333333333
"PA17",-0.0298899202321945,0.170333333333333,-0.0266525218637157,0.168333333333333
"PA18",-0.0390844851531478,0.0943333333333333,-0.0338120539527858,0.0943333333333333
"PA19",-0.0582785714763915,0.0426666666666667,-0.0527235390746888,0.0406666666666667
"PA2",-0.0215595289885582,0.182666666666667,-0.0181398506382431,0.174333333333333
"PA20",-0.034823988364058,0.097,-0.0303482614980415,0.0973333333333333
"PA23",-0.0302940341982427,0.123666666666667,-0.0261309811279182,0.117666666666667
"PA28",-0.0263487384027041,0.214333333333333,-0.0231929201557586,0.206333333333333
"PA29",-0.0492336883980749,0.0803333333333333,-0.0424273041187616,0.0813333333333333
"PA3",-0.0472331096478116,0.0113333333333333,-0.0407361094328728,0.0133333333333333
"PA30",-0.0380025576421862,0.0756666666666667,-0.0327336546123989,0.077
"PA31",-0.0398352593747807,0.0973333333333333,-0.0343737327506321,0.0916666666666667
"PA34",-0.0474586929315611,0.0496666666666667,-0.0408961151970471,0.0453333333333333
"PA35",-0.0342616084601393,0.146,-0.0298246640015421,0.139333333333333
"PA37",-0.0413321536908573,0.0756666666666667,-0.0347597961268215,0.0726666666666667
"PA4",-0.0610910227384257,0.006,-0.0538419434840013,0.00533333333333333
"PA5",-0.036270285608771,0.0603333333333333,-0.0309163238469241,0.0603333333333333
"PA6",-0.0541700721076436,0.03,-0.0478423611863354,0.0296666666666667
"PA66",-0.0242617084529228,0.164,-0.0203352844985954,0.168
"PA7",-0.0699645855047689,0.00966666666666667,-0.0615220456803666,0.009
"PA8",-0.062388401522804,0.01,-0.0542456210292632,0.00933333333333333
"PH1",0.00736088313436502,0.649666666666667,0.0051794339735869,0.612
"PH10",-0.000543901753554579,0.489666666666667,-0.00164193659978594,0.467333333333333
"PH11",-0.0155701647109488,0.292666666666667,-0.0142485121121698,0.272
"PH12",-0.0156406488636648,0.24,-0.0141492342941928,0.228
"PH13",0.00075113863247861,0.512,-0.000977307271231645,0.481666666666667
"PH14",-0.0201406858756042,0.265666666666667,-0.0178367201302601,0.245666666666667
"PH15",0.01208661441982,0.680666666666667,0.00948057779669305,0.672
"PH16",0.0080185079964247,0.621,0.00564330627415156,0.611333333333333
"PH2",-0.00581126272892056,0.379,-0.00565134071288763,0.366666666666667
"PH21",-0.00913770517510784,0.369333333333333,-0.00861861908089561,0.362
"PH22",1.42173950387764e-05,0.500333333333333,-0.000449665385267098,0.489
"PH26",-0.0315762381579017,0.126666666666667,-0.0273773566961601,0.115
"PH3",0.00291285657112299,0.546333333333333,0.00141926514033353,0.529333333333333
"PH32",-0.00143855018689303,0.476,-0.00166268276319707,0.461
"PH33",-0.0384046486823531,0.096,-0.0336948778907835,0.0943333333333333
"PH34",-0.0107026516810889,0.361,-0.00969547810868612,0.354333333333333
"PH49",-0.0318094972800957,0.161666666666667,-0.0266872576476155,0.159666666666667
"PH6",0.0148862122509509,0.692,0.0114292197354331,0.677
"PH7",0.0172909809061882,0.71,0.0130161199468081,0.692333333333333
"PH8",0.00935541853321882,0.652333333333333,0.00714316343573056,0.64
"TD1",-0.0325271150241966,0.113333333333333,-0.0275757125134138,0.116333333333333
"TD10",-0.0631450201535911,0.0376666666666667,-0.0544683913599294,0.0386666666666667
"TD11",-0.0600438781713222,0.0546666666666667,-0.0522683315295664,0.056
"TD12",-0.0718514963598469,0.02,-0.0619333375073467,0.0226666666666667
"TD14",-0.0617404148676569,0.0446666666666667,-0.0523748457944098,0.046
"TD2",-0.0558361010045067,0.041,-0.0483290062694068,0.0386666666666667
"TD5",-0.0591197934917374,0.0363333333333333,-0.0505694409723616,0.035
"TD6",-0.0986842658283453,0.00266666666666667,-0.0871927968697078,0.00266666666666667
"TD7",-0.0411968689456453,0.13,-0.0358743520156901,0.124666666666667
"TD8",-0.0879530981538238,0.0116666666666667,-0.0768950906676231,0.0113333333333333
"TD9",-0.0718036895364912,0.018,-0.0622296923783645,0.0173333333333333
"ZE1",-0.0542763821683842,0.0723333333333333,-0.0465877929601775,0.0696666666666667
"ZE2",-0.0538665905541251,0.0763333333333333,-0.0468443161991516,0.0753333333333333
