"Week","S08000015","S08000016","S08000017","S08000019","S08000020","S08000022","S08000024","S08000029","S08000030","S08000031","S08000032"
2020-03-02,0.45899802791394,0.320245464695682,0.360680079947172,0.467100684323349,0.443663861522812,0.412048696730943,0.449027488465722,0.417284136730879,0.445230189063983,0.517434013627853,0.488128174039273
2020-03-09,0.837091523839714,0.752900545346078,0.725904318578149,0.84754315339784,0.847164900179566,0.797780114432825,0.855865853864772,0.803890289831093,0.800067130176298,0.894702215905593,0.897165347177341
2020-03-16,0.816603776344584,0.666519156688122,0.77819445674869,0.753423324872044,0.829722680881156,0.754872251000749,0.777573535916733,0.727226026689151,0.749127577637335,0.804824161337789,0.846978964858739
2020-03-23,1,1,1,1,1,1,1,1,1,1,1
2020-03-30,0.94824957840204,0.879837090060674,0.828252817815972,0.877102205954545,0.891101681139369,0.825191108078525,0.871406592207225,0.770916204121137,0.850356683015715,0.909712322461822,0.912555841744793
2020-04-06,0.861071637471098,0.807246584090394,0.732660931507535,0.782589582606449,0.851024138233925,0.808511380860911,0.776394490924141,0.721803591578681,0.743834005435353,0.833204747978071,0.831955932050024
2020-04-13,0.979581846331132,0.923816401523601,0.836277125164666,0.900362868285641,0.99217888665074,0.889254686159909,0.888898378409381,0.842673872255343,0.837736693457166,0.910871482457535,0.938512286168075
2020-04-20,0.870667165316182,0.857433778677824,0.754063817046709,0.833213973552295,0.93608010307732,0.811548748280633,0.765983239451887,0.755916527197852,0.746943758052374,0.814478970876444,0.863491449674904
2020-04-27,0.834390611018321,0.797319021774747,0.780510735544624,0.847864164640943,0.951228371710114,0.85116325100308,0.73707696033162,0.718450951852798,0.707140153274113,0.752260200298353,0.823520619290358
2020-05-04,0.74183133099218,0.715766696039019,0.675316198983917,0.704893941617654,0.928866391051639,0.71060453380925,0.623958411514969,0.64182764020618,0.605763396120633,0.665712799876639,0.742241849893661
2020-05-11,0.676626221848654,0.631836572787776,0.605509331122872,0.597310151121954,0.760151575664051,0.60755004758585,0.587610664755381,0.595501513576039,0.516479232311534,0.594436541396683,0.672878912032312
2020-05-18,0.684828980605545,0.654254166603842,0.57355952751293,0.581124462147126,0.783193988205676,0.62712604860062,0.578494191573788,0.608474991979534,0.503684019495648,0.598491615143098,0.685963359591522
2020-05-25,0.488723454946817,0.55943642934453,0.446381541956113,0.444105947433872,0.580458248512518,0.521652208554941,0.458569021678995,0.447587305004174,0.381794310812126,0.443826548129294,0.498678086428289
2020-06-01,0.507294089635467,0.469919874409629,0.403741406682084,0.443406079903547,0.556172053382081,0.438318232573097,0.446226287540616,0.502419783060638,0.41810501876807,0.453154073169783,0.488700732861322
2020-06-08,0.461450683831934,0.461282012573751,0.425749284221341,0.428031256535052,0.56052435179772,0.464499892142623,0.444586560765755,0.470247519543888,0.392135634690951,0.453123824538965,0.496676381467683
2020-06-15,0.3079359581979,0.320209604959581,0.235334623502565,0.288386896159716,0.335680748053791,0.314328771745057,0.314388134704869,0.282747239402937,0.287231641666485,0.332187576908257,0.394633191649006
2020-06-22,0.396519594896773,0.438024000733625,0.392957547797606,0.384549089238898,0.455592804862765,0.360670647732625,0.404140807560962,0.421090916779949,0.375490052950865,0.409990485937753,0.468529809200861
2020-06-29,0.401683955619708,0.47653609134298,0.446339608494887,0.360556438563272,0.472490436221943,0.421350240407988,0.389077752723108,0.384547207229318,0.332476984233174,0.409693870511567,0.421993171434696
2020-07-06,0.37318865652264,0.3652659330339,0.392637684601195,0.325522277653049,0.418014972726965,0.352565352834755,0.351039329415154,0.332632711524395,0.318538369803722,0.359254460323474,0.394011450934757
